rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,h_X_1_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
Gaussian,0.950890020529723,0.976948614799326,0.973172093122546,0.967003576150531,0.0626062089497797,0.169577897264255,0.040667579182223,0.0909505617987526,0.118201780964729,0.106370705040468,0.0663617778107435,0.0969780879386471,0.0875663737217847,0.0898430886323324,0.055826446893351,0.0820793827690886,,,,,,,,13.2100000000009,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1236,Z1mQ9,2019-01-18T17:23:50.130845Z
copula,0.954042855475045,0.96472059830116,0.951622943958512,0.956795465911572,0.057547413150076,0.273616842803485,0.0659670426553314,0.132377099536298,0.110613288571846,0.16279693386937,0.119665967935091,0.131025396792102,0.116795103108111,0.125367849554693,0.139840422270663,0.129288668089254,,,,,,,,19.7669999999998,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1236,Z1mQ9,2019-01-18T17:23:50.130845Z
treeSHAP,-0.0213662968238045,-0.0131524143285709,0.0239656681086226,-0.0035176810145843,0.750145764656645,10.7797447324224,1.08527445581372,4.20505498429759,2.45830514702196,4.67519568509189,2.4143282502246,3.18260969411281,2.31933287806801,4.24792807135721,1.98243940523877,3.18983584618898,,,,,,,,0.0370000000002619,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1236,Z1mQ9,2019-01-18T17:23:50.130845Z
empirical_sigma.01,0.447520227028764,0.395953810170854,0.399650964467519,0.414375000555712,0.109218085139072,0.164166035300779,0.197247205509692,0.156877108649848,0.11904463116015,0.154226730057727,0.128243394466666,0.133838251894848,0.122209643790412,0.201994316826199,0.132599004910919,0.156521603414541,0.1,0.1,0.1,0.1,0.1,0.1,,14.1130000000003,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,K9oYD,2019-01-18T17:24:38.774402Z
empirical_AIC_each_k,0.651027083447034,0.590270730185407,0.582599379344672,0.607965730992371,0.0669149673219469,0.103433931117774,0.193486372434728,0.121278423624816,0.0751943404416591,0.104613201037355,0.0891629190306852,0.0896568201698999,0.0760364699829875,0.11617473326248,0.074000362677471,0.0913293243584441,0.197263428069354,0.197263428069354,0.197263428069354,0.187528067957218,0.187528067957218,0.187528067957218,,2906.822,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,K9oYD,2019-01-18T17:24:38.774402Z
empirical_AIC_full,0.503305306333609,0.345478149347339,0.47402239551068,0.440935283730543,0.100081403570313,0.189158171587086,0.223547055863467,0.170928877006955,0.107024436910558,0.167114314231573,0.11235656163473,0.12883177092562,0.110469598933883,0.210005829578258,0.111564788727317,0.153310951925318,0.138157979455781,0.275558998436013,0.160790285980324,0.303873906639046,0.0872187012454473,0.207887732045493,,2886.639,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,K9oYD,2019-01-18T17:24:38.774402Z
empirical_independence,0,0,0,0,0.191351695899477,0.29078797112759,0.739382503950336,0.407174056992467,0.215473284243382,0.255322742953399,0.213614725561973,0.228136917586251,0.222407143334488,0.237569430962623,0.182355221384121,0.215515523721097,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.6880000000001,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,K9oYD,2019-01-18T17:24:38.774402Z
Gaussian,0.181308161988987,0.224571050371682,0.381598631015814,0.262492614458828,0.203917800916961,0.206612025177648,0.336246558419551,0.24892546150472,0.176406219119484,0.197984646384575,0.132099638722705,0.168830168075588,0.198936294188454,0.177326146522032,0.112764908629365,0.168760270675054,,,,,,,,13.7209999999995,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,K9oYD,2019-01-18T17:24:38.774402Z
copula,0.172854184789349,0.231366511852306,0.281125281157903,0.22844865926652,0.190325303541551,0.210960881195154,0.421957600549397,0.274414595095368,0.178227825351608,0.196249610519708,0.153562225778895,0.176013220550071,0.196392164144622,0.185861049191105,0.114578217342346,0.169889221191596,,,,,,,,17.9060000000009,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,K9oYD,2019-01-18T17:24:38.774402Z
treeSHAP,0.0172880996133875,-0.100437336249299,-0.0893466267184478,-0.0574986211181199,0.190656373863562,0.342813587665963,0.749148034018184,0.427539331849236,0.211748160641358,0.280966679139503,0.232700480708323,0.241805106829728,0.226817133630699,0.263612965155747,0.1840822210677,0.228266532793253,,,,,,,,0.0409999999992579,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1236,K9oYD,2019-01-18T17:24:38.774402Z
empirical_sigma.01,0.902304968573346,0.939910169282317,0.918042302345453,0.920085813400372,0.0769062300566812,0.0873885251960839,0.303510491661226,0.155935082304664,0.0999347482060211,0.120669304344731,0.0990868440709555,0.106563632207236,0.0996353595777194,0.112591644162312,0.10947369665695,0.107481821110114,0.1,0.1,0.1,0.1,0.1,0.1,,19.1350000000002,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1237,Z7hhq,2019-01-18T18:45:54.151731Z
empirical_AIC_each_k,0.88964210361686,0.932709425344931,0.912690912720068,0.911680813893953,0.0820832085443913,0.0978351904209939,0.299987271813514,0.1599685569263,0.112887916883217,0.135129467592173,0.105556673318826,0.117858019264739,0.131300356477372,0.109843957688459,0.158940742460348,0.135004384717634,0.130983824899247,0.130983824899247,0.130983824899247,0.123607913376928,0.123607913376928,0.123607913376928,,2284.132,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1237,Z7hhq,2019-01-18T18:45:54.151731Z
empirical_AIC_full,0.901513073362658,0.945087663541815,0.92668327001805,0.924428002307508,0.0861177289741439,0.0788918987581941,0.264390948106638,0.143133525279659,0.100744798086041,0.110272126934166,0.0886399154614468,0.0998856134938846,0.110410780981837,0.119461367217687,0.104790808903805,0.111696149744627,0.0979699691660141,0.207763181722601,0.140697352770578,1.08656882579773,0.0800714613227668,0.135416777717458,,2217.674,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1237,Z7hhq,2019-01-18T18:45:54.151731Z
empirical_independence,0,0,0,0,0.637053851070621,1.45261085122731,5.07571549484941,2.38846006571578,1.02292559556674,2.008148515373,1.20899984878307,1.41335798657427,0.903586684047501,1.45851525643747,0.732723386410691,1.15573146296569,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.7749999999996,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1237,Z7hhq,2019-01-18T18:45:54.151731Z
Gaussian,0.914676932392718,0.946247587657738,0.889138525073812,0.916687681708089,0.0897248617457764,0.0922024417675899,0.52645524057927,0.236127514697545,0.0872791497477604,0.10794282704283,0.13403150642163,0.10975116107074,0.0772100735239536,0.0996331221128246,0.133969874548222,0.107565827212027,,,,,,,,13.0339999999997,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1237,Z7hhq,2019-01-18T18:45:54.151731Z
copula,0.835110841757688,0.861821407094994,0.830219069816143,0.842383772889608,0.12420442301639,0.216536670443003,1.44533641936146,0.595359170940284,0.168669340397516,0.277483136198518,0.205265118918532,0.217139198504856,0.172999272696476,0.193363415372455,0.148734844885934,0.177945843514656,,,,,,,,18.0480000000007,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1237,Z7hhq,2019-01-18T18:45:54.151731Z
treeSHAP,-0.183490751191167,-0.120391163659667,-0.0305715581372933,-0.111484490996042,0.678787684970833,1.59817737742852,4.82077776236964,2.365914274923,1.21062298150996,2.24991185194019,1.24596085794812,1.56883189713276,0.967942894648357,1.58319418178956,0.774691800865273,1.25369797406042,,,,,,,,0.0499999999992724,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1237,Z7hhq,2019-01-18T18:45:54.151731Z
empirical_sigma.01,0.738949466127727,0.803906505003406,0.783618488020322,0.775491486383818,0.0591679120647695,0.106997551963051,2.02261149589716,0.729592319974995,0.0927821398881633,0.130708905748625,0.110526247961967,0.111339097866252,0.260458866311172,0.255411147949688,0.103670513304344,0.218770698383555,0.1,0.1,0.1,0.1,0.1,0.1,,13.0160000000014,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1237,mMDVV,2019-01-18T18:49:21.149549Z
empirical_AIC_each_k,0.821869299236175,0.856962088565722,0.837593105306678,0.838808164369525,0.0460585988432382,0.105577735388876,1.86002670892825,0.67055434772012,0.0633109128393212,0.095343952559303,0.0829563697442551,0.0805370783809598,0.150725241596948,0.137791695830459,0.0723232831967713,0.125359404901347,0.234909791816841,0.234909791816841,0.234909791816841,0.182769830019581,0.182769830019581,0.182769830019581,,2278.204,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1237,mMDVV,2019-01-18T18:49:21.149549Z
empirical_AIC_full,0.708849655708816,0.771877434861032,0.783146783952316,0.754624624840722,0.0644492692071969,0.10374567705477,0.74576880213678,0.304654582799582,0.103480163674857,0.152058337612891,0.110767191286136,0.122101897524628,0.301996814479119,0.329086184205235,0.113029984956628,0.265978000466118,0.155055277140327,0.306360924610708,0.0513380085582331,2.58408898585676,0.0849206846370947,0.189781132072985,,2545.615,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1237,mMDVV,2019-01-18T18:49:21.149549Z
empirical_independence,0,0,0,0,0.236219970822608,0.81731204942103,3.98584648564588,1.67979283529651,0.355418311205446,0.666564210867348,0.510793398894205,0.510925306988999,0.428490505602455,0.456724778122824,0.28592666830084,0.416074203315143,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.6159999999982,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1237,mMDVV,2019-01-18T18:49:21.149549Z
Gaussian,0.531755852943178,0.760104192692812,0.631415356290141,0.641091800642044,0.149791625592537,0.176552407950094,2.465446987569,0.93059700703721,0.16642254397877,0.159905959488101,0.188270602940769,0.171533035469213,0.196003809259652,0.147991143617512,0.106725534990299,0.154566576795228,,,,,,,,13.1770000000033,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1237,mMDVV,2019-01-18T18:49:21.149549Z
copula,0.412765653301522,0.566064170234512,0.511793874197152,0.496874565911062,0.173729695914929,0.299363007306271,5.36849558577723,1.94719609633281,0.208713839785406,0.2892460939347,0.249372466359809,0.249110800026638,0.228321664595077,0.210854972907096,0.149827288637138,0.201243006103055,,,,,,,,18.3949999999968,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1237,mMDVV,2019-01-18T18:49:21.149549Z
treeSHAP,0.00133217555375171,-0.0926103777336394,-0.0137417863664211,-0.0350066628487696,0.250019949000139,0.873125901312925,3.54070882463851,1.55461822498386,0.354944831619902,0.728294974219498,0.517812612659187,0.533684139499529,0.392965673403087,0.480505291540221,0.29779103310506,0.424705291900159,,,,,,,,0.0320000000028813,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1237,mMDVV,2019-01-18T18:49:21.149549Z
empirical_sigma.01,0.930602718238504,0.947489921448084,0.946070819226776,0.941387819637788,0.086106509645389,0.158556548571645,0.169265968510593,0.137976342242542,0.151471000413211,0.231345896550109,0.128920066476238,0.170578987813186,0.12316709453585,0.219845130816087,0.171377718300686,0.180797945006258,0.1,0.1,0.1,0.1,0.1,0.1,,14.6620000000003,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1237,5XhmA,2019-01-18T19:01:17.134324Z
empirical_AIC_each_k,0.904947126157556,0.950793991854412,0.914070930838394,0.923270682950121,0.0895037565303954,0.246145478112728,0.403573139234014,0.246407457959046,0.20746855680238,0.216789012395748,0.205417199922601,0.20989158970691,0.37001817580827,0.288194733738913,0.299693001877182,0.320305644452677,0.0438230373366494,0.0438230373366494,0.0438230373366494,0.0799564866760946,0.0799564866760946,0.0799564866760946,,2525.568,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1237,5XhmA,2019-01-18T19:01:17.134324Z
empirical_AIC_full,0.896253427926974,0.946627616513193,0.924708169442913,0.922529737961026,0.0994438291805236,0.215979520673695,0.293671644777624,0.203031664877281,0.226443985448166,0.235144990243421,0.179988415573275,0.213859130421621,0.366099973877721,0.287298905892607,0.223473373881302,0.298044794029981,0.00770243868559096,0.126937229720159,0.0892061817588584,0.229318375825669,0.0532900834503146,0.0752804720105886,,2587.169,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1237,5XhmA,2019-01-18T19:01:17.134324Z
empirical_independence,0,0,0,0,0.720408675524151,5.00227647474493,1.78162515772306,2.50143676933071,2.18266474663639,4.40574272463484,2.39054375808815,2.99298374311979,1.81387907923884,3.18845793540097,1.44210525016101,2.48043627724857,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.8820000000014,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1237,5XhmA,2019-01-18T19:01:17.134324Z
Gaussian,0.960619585695011,0.975381912543319,0.967770946979421,0.967924148405917,0.0445891736283359,0.233945389222725,0.121457819548751,0.133330794133271,0.0859542420114357,0.108460959706695,0.0770449615274375,0.090486721081856,0.079754799436264,0.125947136419283,0.0668069046716068,0.0949284231685535,,,,,,,,12.8110000000015,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1237,5XhmA,2019-01-18T19:01:17.134324Z
copula,0.952407919366687,0.95113097524307,0.934616132989593,0.94605167586645,0.0448587090386674,0.418264314306197,0.170434447995842,0.211185823780236,0.103877556617409,0.215304350282844,0.156302995161395,0.158494967353883,0.142499320239449,0.20010880589347,0.114269722411286,0.162431627614446,,,,,,,,17.8580000000002,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1237,5XhmA,2019-01-18T19:01:17.134324Z
treeSHAP,-0.0806645589620902,-0.023058649670633,0.0441275037586455,-0.0198652349580259,0.776788555366621,5.19560843595029,1.73377598623791,2.56872432585161,2.35872843578592,4.50733320266113,2.2850550294179,3.05037222262165,1.81308802318726,3.09534681438828,1.34340197952796,2.43396217584583,,,,,,,,0.0529999999998836,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1237,5XhmA,2019-01-18T19:01:17.134324Z
empirical_sigma.01,0.539381413234087,0.394293476348792,0.438435459901538,0.457370116494806,0.0839996054974826,0.10155240744761,0.175918503191176,0.120490172045423,0.0954403496300454,0.164637968542497,0.134393394455154,0.131490570875899,0.136118483368093,0.284906630288377,0.211294643888418,0.220450129566188,0.1,0.1,0.1,0.1,0.1,0.1,,14.8340000000007,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,VgeB3,2019-01-18T19:08:06.880575Z
empirical_AIC_each_k,0.708963058139407,0.591366774699868,0.589942623119417,0.630090818652897,0.0524093607677042,0.0600657396276318,0.125984715913748,0.0794866054363614,0.0603029671066017,0.111071189537201,0.0981347625523064,0.0898363063987029,0.0923396908125344,0.201928711347505,0.163565350378524,0.160149277257613,0.145200226952283,0.145200226952283,0.145200226952283,0.18453350784841,0.18453350784841,0.18453350784841,,2556.877,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,VgeB3,2019-01-18T19:08:06.880575Z
empirical_AIC_full,0.600152669943903,0.415298728176788,0.480613482889996,0.498688293670229,0.070240678511469,0.0905615919355285,0.158022050529048,0.106274773658682,0.0828485216958641,0.158928500582934,0.124299367364639,0.122025463214479,0.115846148106951,0.315140608344835,0.221622121537368,0.233580271585845,0.120404494748936,0.283337666463091,0.107288199983074,0.302843982597935,0.10132998977871,0.253263675622462,,2424.15,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,VgeB3,2019-01-18T19:08:06.880575Z
empirical_independence,0,0,0,0,0.167036327095984,0.269946292059411,0.262971309313098,0.233317976156164,0.20720038741847,0.271811450122837,0.239319588148478,0.239443808563262,0.239849521092067,0.199782175794851,0.138934461723009,0.198374142382035,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.9060000000027,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,VgeB3,2019-01-18T19:08:06.880575Z
Gaussian,0.269655559913598,0.429172743902626,0.431853296838398,0.376893866884874,0.155461629316869,0.137613026290827,0.134044478213778,0.142373044607158,0.151327650934828,0.155157384249467,0.13596863500855,0.147484556730949,0.163823470741856,0.125315338884867,0.10763879792207,0.134130609370635,,,,,,,,12.6090000000004,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,VgeB3,2019-01-18T19:08:06.880575Z
copula,0.209101992450649,0.240324172355086,0.218170723618183,0.222532296141306,0.158781469542872,0.228434797677354,0.19019862254404,0.192471629921422,0.163874373572722,0.20648858833543,0.187107060426119,0.18582334077809,0.165986464399546,0.149242786589696,0.112706302902395,0.14494008416893,,,,,,,,17.1889999999985,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,VgeB3,2019-01-18T19:08:06.880575Z
treeSHAP,-0.000848952827684457,-0.141114344165728,-0.0329195955377926,-0.0582942975104018,0.170173715576752,0.336193447646749,0.284692963567466,0.263686708930322,0.207376290773266,0.310167944643656,0.247197892194597,0.254914042537173,0.229305764667071,0.202965863397964,0.139604272199824,0.198240877824462,,,,,,,,0.0309999999990396,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1237,VgeB3,2019-01-18T19:08:06.880575Z
empirical_sigma.01,0.879115116702916,0.910676666526691,0.890291731456944,0.893361171562184,0.215094063303019,0.678409709235219,0.349661526143269,0.414388432893836,0.115035945359514,0.192731895842789,0.169487246379912,0.159085029194072,0.139059408074453,0.324252379355134,0.209538819326589,0.2383614946876,0.1,0.1,0.1,0.1,0.1,0.1,,13.4539999999997,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1238,FuyJQ,2019-01-18T20:06:41.562215Z
empirical_AIC_each_k,0.87325485160467,0.896771305710498,0.863640689858984,0.87788894905805,0.204304766808854,0.676637836726311,0.317615085126819,0.399519229553995,0.120612665270617,0.222735327737589,0.210660183603163,0.18466939220379,0.191638899202236,0.450688126206671,0.432467260381182,0.378711181408763,0.119457883825187,0.119457883825187,0.119457883825187,0.110980756090266,0.110980756090266,0.110980756090266,,2132.089,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1238,FuyJQ,2019-01-18T20:06:41.562215Z
empirical_AIC_full,0.858029693683078,0.876667586725742,0.834837842912768,0.856511707773863,0.274408993387357,0.81401476945902,0.514425742285738,0.534283168377372,0.135101163641863,0.266112883441783,0.25515742416348,0.218790490415708,0.218376987336619,0.458802804886591,0.355808833693044,0.361854398085248,0.13145132558654,0.171587822787899,0.039258025150843,0.440199644200575,0.0652622316728542,0.140713407603592,,2446.083,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1238,FuyJQ,2019-01-18T20:06:41.562215Z
empirical_independence,0,0,0,0,1.19079003157634,4.74387737843535,4.18430674378125,3.37299138459765,0.951615638134045,2.15768812412694,1.54489035904705,1.55139804043601,0.775429490744702,1.88920057494208,1.27964731898067,1.47182652710126,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.6140000000014,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1238,FuyJQ,2019-01-18T20:06:41.562215Z
Gaussian,0.924263432518523,0.958646494358889,0.924762321296981,0.935890749391464,0.151889248564338,0.0973675117635121,0.456980539077906,0.235412433135252,0.0720721019939684,0.0892279680128405,0.116233964465374,0.0925113448240609,0.0638050107349703,0.0862303188413106,0.0971639279319511,0.0852488121224672,,,,,,,,12.6239999999998,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1238,FuyJQ,2019-01-18T20:06:41.562215Z
copula,0.844491975697017,0.855177633883232,0.829109102606615,0.842926237395621,0.129998897759652,0.388055958016065,1.00793034696537,0.508661734247028,0.147983867782048,0.312481499478114,0.26400769983194,0.241491022364034,0.144678858674173,0.274005654510576,0.238173454648814,0.23526866820891,,,,,,,,17.643,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1238,FuyJQ,2019-01-18T20:06:41.562215Z
treeSHAP,-0.169351720163746,-0.0973214096125633,-0.00836490384439219,-0.0916793445402338,0.980775176751748,5.27113482608143,4.12173315094824,3.45788105126048,1.11277338338677,2.36767737387126,1.55781321835061,1.67942132520288,0.845263314670221,1.98883424444289,1.28431492713698,1.53724957442377,,,,,,,,0.0459999999984575,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1238,FuyJQ,2019-01-18T20:06:41.562215Z
empirical_sigma.01,0.638504781751573,0.762880091139179,0.819379504145815,0.740254792345522,0.105175911533193,0.138527055320573,0.139279114029191,0.127660693627652,0.120076819733628,0.147713351088087,0.105182120442766,0.124324097088161,0.1662283664064,0.221556067871541,0.117385847449322,0.173999698271588,0.1,0.1,0.1,0.1,0.1,0.1,,14.1440000000002,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1238,EPBSR,2019-01-18T20:15:11.580902Z
empirical_AIC_each_k,0.712489040474466,0.801872710782324,0.863985322055911,0.7927823577709,0.0866262492211784,0.12342208787165,0.116066204238403,0.10870484711041,0.0955016827765199,0.12342298026742,0.0792064719446278,0.0993770449961892,0.162097350674329,0.191943438623498,0.0918751973362793,0.155009305145593,0.169265452081134,0.169265452081134,0.169265452081134,0.146216719813837,0.146216719813837,0.146216719813837,,2780.174,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1238,EPBSR,2019-01-18T20:15:11.580902Z
